days_elapsed,time_fraction,artist,album,song,story-category,emotion
1,0.05,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
1,0.40,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
1,0.47,Taylor Swift,Red,Starlight,relationship,positive
5,13.97,The Chemical Brothers,Further,K+D+B,none,positive
6,4.25,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
7,23.97,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
7,0.55,The Magnetic Fields,69 Love Songs (disc 1),Come Back From San Francisco,nyc,negative
8,13.92,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
8,14.58,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
8,23.60,Jhameel,Waves: White Lie,White Lie,relationship,mixed
8,6.02,The Magnetic Fields,69 Love Songs (disc 1),Come Back From San Francisco,nyc,negative
9,22.52,Joni Mitchell,Blue,California,nyc,negative
9,4.78,Jhameel,Waves: White Lie,White Lie,relationship,mixed
10,16.73,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
10,16.88,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
10,3.72,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
12,21.05,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
13,22.22,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
13,22.73,Taylor Swift,Red,Starlight,relationship,positive
13,22.93,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
13,5.63,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
15,22.30,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
18,18.72,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
18,18.98,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
20,13.87,La Roux,La Roux (Bonus Track Version),Bulletproof,relationship,mixed
21,13.25,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
21,13.60,Jhameel,Waves: White Lie,White Lie,relationship,mixed
21,22.27,Bondax,Gold,Gold,nyc,positive
21,23.85,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
22,13.25,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
22,13.45,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
22,13.97,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
23,3.80,Bondax,Gold,Gold,nyc,positive
23,4.63,Bondax,Gold,Gold,nyc,positive
24,17.37,Tycho,Awake,Awake,none,positive
25,5.73,Bondax,Gold,Gold,nyc,positive
26,13.95,Jhameel,Waves: White Lie,White Lie,relationship,mixed
27,0.85,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
28,23.88,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
28,0.80,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
28,2.78,Joni Mitchell,Blue,California,nyc,negative
28,2.87,Joni Mitchell,Blue,California,nyc,negative
28,2.95,Joni Mitchell,Blue,California,nyc,negative
28,4.08,Joni Mitchell,Blue,California,nyc,negative
29,8.53,Jhameel,Waves: White Lie,White Lie,relationship,mixed
32,5.32,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
32,5.72,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
33,0.48,Jhameel,Waves: White Lie,White Lie,relationship,mixed
33,2.33,Joni Mitchell,Blue,California,nyc,negative
33,2.77,Joni Mitchell,Blue,California,nyc,negative
35,14.58,Taylor Swift,Red,Starlight,relationship,positive
35,15.53,The Magnetic Fields,69 Love Songs (disc 1),Come Back From San Francisco,nyc,negative
35,17.53,La Roux,La Roux (Bonus Track Version),Bulletproof,relationship,mixed
35,23.90,Bondax,Gold,Gold,nyc,positive
35,23.98,Banks,London,Waiting Game,work,negative
36,17.22,Bondax,Gold,Gold,nyc,positive
36,4.95,The Magnetic Fields,69 Love Songs (disc 1),Come Back From San Francisco,nyc,negative
37,20.63,Tycho,Awake,Awake,none,positive
37,21.32,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
38,15.93,Joni Mitchell,Blue,California,nyc,negative
38,17.78,Jhameel,,Feisty,relationship,positive
38,2.90,Arcade Fire,The Suburbs Deluxe,Sprawl II (Mountains Beyond Mountains),nyc,negative
38,4.10,Arcade Fire,The Suburbs Deluxe,Sprawl II (Mountains Beyond Mountains),nyc,negative
39,13.67,Tycho,Awake,Awake,none,positive
40,13.17,La Roux,La Roux (Bonus Track Version),Bulletproof,relationship,mixed
40,21.53,Arcade Fire,The Suburbs Deluxe,Sprawl II (Mountains Beyond Mountains),nyc,negative
40,22.78,Tycho,Awake,Awake,none,positive
42,13.05,All India Radio,Fall,Far Away,nyc,positive
43,12.88,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
43,5.72,Tycho,Awake,Awake,none,positive
43,5.90,Jhameel,,Feisty,relationship,positive
45,18.55,David Byrne & St. Vincent,Brass Tactics EP,Lightning (Kent Rockafeller remix),none,positive
45,18.62,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
47,14.07,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
48,13.10,All India Radio,Fall,Far Away,nyc,positive
48,13.77,The Never Say Nevers,,Black Tongue 11-5 (3),relationship,positive
48,23.45,Jhameel,,Feisty,relationship,positive
48,23.52,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
49,13.73,Tycho,Awake,Awake,none,positive
49,23.32,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
49,23.72,Jhameel,,Feisty,relationship,positive
49,0.02,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
50,23.83,Jhameel,,Feisty,relationship,positive
50,0.55,Tycho,Awake,Awake,none,positive
52,3.97,Jhameel,,Feisty,relationship,positive
54,23.47,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
54,3.00,The Chemical Brothers,Further,K+D+B,none,positive
55,13.37,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
55,13.70,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
55,14.10,Jhameel,,Feisty,relationship,positive
55,18.75,Bondax,Gold,Gold,nyc,positive
55,18.82,Banks,London,Waiting Game,work,negative
56,14.07,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
56,14.17,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
56,22.65,Taylor Swift,Red,We Are Never Ever Getting Back Together,relationship,mixed
56,23.27,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
57,4.77,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
57,4.87,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
58,14.37,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
58,16.10,The Magnetic Fields,69 Love Songs (disc 1),Come Back From San Francisco,nyc,negative
58,17.65,All India Radio,Fall,Far Away,nyc,positive
58,18.55,The Chemical Brothers,Further,K+D+B,none,positive
58,19.20,The Chemical Brothers,Further,K+D+B,none,positive
58,19.48,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
58,21.05,All India Radio,Fall,Far Away,nyc,positive
58,21.15,Tycho,Awake,Awake,none,positive
58,3.12,Bondax,Gold,Gold,nyc,positive
61,13.58,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
61,0.87,All India Radio,Fall,Far Away,nyc,positive
61,1.00,Tycho,Awake,Awake,none,positive
61,1.32,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
62,1.12,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
63,12.62,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
63,12.70,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
64,14.35,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
65,2.22,Jhameel,,Feisty,relationship,positive
65,4.62,The Magnetic Fields,69 Love Songs (disc 1),Come Back From San Francisco,nyc,negative
65,4.67,Florence + the Machine,Ceremonials (Deluxe Edition) (Cd1),Shake It Out,nyc,mixed
66,15.88,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
67,13.98,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
68,0.13,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
68,0.52,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
68,0.77,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
69,23.90,Blue Hawaii,Blooming Summer,Blue Gowns,nyc,positive
69,0.20,Bon Iver,For Emma Forever Ago (Bonus Track Version),Skinny Love,relationship,negative
70,12.57,Tycho,Awake,Awake,none,positive
70,13.27,Rilo Kiley,The Execution of All Things,With Arms Outstretched,nyc,negative
72,17.52,Bondax,Gold,Gold,nyc,positive
72,17.58,Estelle,Total Club Hits Vol. 2,American Boy,relationship,positive
72,18.13,La Roux,La Roux (Bonus Track Version),Bulletproof,relationship,mixed
72,18.90,Arcade Fire,The Suburbs,Sprawl II (Mountains Beyond Mountains),nyc,negative
72,21.97,Joni Mitchell,Blue,California,nyc,negative
72,2.35,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
74,12.98,The Naked and Famous,In Rolling Waves,The Mess,relationship,negative
76,3.87,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
77,13.50,Taylor Swift,Red,Starlight,relationship,positive
77,14.37,All India Radio,Fall,Far Away,nyc,positive
78,13.45,Diplo,,Barely Standing (Major Lazer Kubiyashi Beat) [feat. Datsik & Sabi],work,mixed
79,22.60,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
79,22.77,BjÌ¦rk,Biophilia Remix Series I,Crystalline (Current Value Remix),work,negative
80,19.02,Yeah Yeah Yeahs,It's Blitz!,Zero,work,mixed
80,19.22,All India Radio,Fall,Far Away,nyc,positive
84,14.62,Bondax,Gold,Gold,nyc,positive
85,20.78,The Blow,The Blow,From the Future,none,positive
85,8.37,CHVRCHES,The Bones of What You Believe,Gun,nyc,negative
86,23.95,Bondax,Gold,Gold,nyc,positive
86,0.85,Joni Mitchell,Blue,California,nyc,negative
86,1.02,Jhameel,,Feisty,relationship,positive
86,1.32,All India Radio,Fall,Far Away,nyc,positive
87,18.95,Tycho,Awake,Awake,none,positive
89,2.37,Joni Mitchell,Blue,California,nyc,negative
90,13.25,Banks,London,Waiting Game,work,negative
90,13.32,Banks,London,Bedroom Wall,work,negative
90,14.05,Bondax,Gold,Gold,nyc,positive
90,23.95,LCD Soundsystem,Sound Of Silver,New York I Love You But You're Bringing Me Down,nyc,negative
91,23.82,Banks,London,This Is What It Feels Like,work,negative
94,4.63,Joni Mitchell,Blue,California,nyc,negative
94,4.90,Sleater-Kinney,Call the Doctor,Good Things,relationship,negative
